Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ML3_S61_L001_R2_001	ML3_S61_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44167079.0	0.0	151.0	41.0	72.74607753233443	151.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	fail
ML3_trimmed_R1	ML3_trimmed_R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8520991.0	0.0	2-151	31.0	72.2026901479508	112.44157446005987	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
ML3_trimmed_R2	ML3_trimmed_R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8520991.0	0.0	2-151	28.0	72.1271254314312	102.96008292932125	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
ML5_S62_L001_R1_001	ML5_S62_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43327326.0	0.0	151.0	37.0	65.77014257787818	151.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	fail
ML5_S62_L001_R2_001	ML5_S62_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43327326.0	0.0	151.0	37.0	69.04049060293788	151.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	fail
ML5_trimmed_R1	ML5_trimmed_R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17627442.0	0.0	2-151	28.0	78.80576253079411	128.28514086161792	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
ML5_trimmed_R2	ML5_trimmed_R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17627442.0	0.0	2-151	26.0	78.98164486302957	121.89407714403485	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
ML7_S63_L001_R1_001	ML7_S63_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41716662.0	0.0	151.0	52.0	15.854364350064987	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
ML7_S63_L001_R2_001	ML7_S63_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41716662.0	0.0	151.0	52.0	25.39310383496976	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
ML7_trimmed_R1	ML7_trimmed_R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7233311.0	0.0	2-151	52.0	38.44503759537789	88.18333803150452	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
ML7_trimmed_R2	ML7_trimmed_R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7233311.0	0.0	2-151	47.0	48.982871824803766	52.38289809466232	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
MVol2_S68_L001_R1_001	MVol2_S68_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44777488.0	0.0	151.0	55.0	19.569633962181985	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
MVol2_S68_L001_R2_001	MVol2_S68_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44777488.0	0.0	151.0	54.0	31.431239115203724	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
MVol2_trimmed_R1	MVol2_trimmed_R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8543502.0	0.0	2-151	56.0	39.28693619448811	80.16745791128743	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
MVol2_trimmed_R2	MVol2_trimmed_R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8543502.0	0.0	2-151	52.0	48.789098188754174	42.89232717450057	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
